_id,Periode,Wilayah,Kecamatan,Nama Puskesmas,Poli,Baru,Lama,Total
243,Oktober,Surabaya Utara,Krembangan,Puskesmas Krembangan Selatan,PSIKOLOGI,9,39,48
244,Oktober,Surabaya Utara,Krembangan,Puskesmas Krembangan Selatan,RAWAT INAP,10,27,37
245,Oktober,Surabaya Utara,Krembangan,Puskesmas Krembangan Selatan,UMUM,454,2002,2456
246,Oktober,Surabaya Barat,Lakarsantri,Puskesmas Lidah Kulon,BATRA,4,35,39
247,Oktober,Surabaya Barat,Lakarsantri,Puskesmas Lidah Kulon,GIGI,54,407,461
248,Oktober,Surabaya Barat,Lakarsantri,Puskesmas Lidah Kulon,GIZI,1,4,5
249,Oktober,Surabaya Barat,Lakarsantri,Puskesmas Lidah Kulon,KIA,94,534,628
250,Oktober,Surabaya Barat,Lakarsantri,Puskesmas Lidah Kulon,LANSIA,10,467,477
251,Oktober,Surabaya Barat,Lakarsantri,Puskesmas Lidah Kulon,PSIKOLOGI,3,24,27
252,Oktober,Surabaya Barat,Lakarsantri,Puskesmas Lidah Kulon,SANITASI,0,1,1
253,Oktober,Surabaya Barat,Lakarsantri,Puskesmas Lidah Kulon,UMUM,331,1882,2213
254,Oktober,Surabaya Barat,Sambikerep,Puskesmas Lontar,BATRA,15,85,100
255,Oktober,Surabaya Barat,Sambikerep,Puskesmas Lontar,GIGI,65,357,422
256,Oktober,Surabaya Barat,Sambikerep,Puskesmas Lontar,GIZI,4,11,15
257,Oktober,Surabaya Barat,Sambikerep,Puskesmas Lontar,KIA,149,507,656
258,Oktober,Surabaya Barat,Sambikerep,Puskesmas Lontar,LANSIA,19,361,380
259,Oktober,Surabaya Barat,Sambikerep,Puskesmas Lontar,P2M,0,11,11
260,Oktober,Surabaya Barat,Sambikerep,Puskesmas Lontar,PSIKOLOGI,2,9,11
261,Oktober,Surabaya Barat,Sambikerep,Puskesmas Lontar,UMUM,331,1528,1859
262,Oktober,Surabaya Barat,Sambikerep,Puskesmas Made,BATRA,4,25,29
263,Oktober,Surabaya Barat,Sambikerep,Puskesmas Made,GIGI,33,303,336
264,Oktober,Surabaya Barat,Sambikerep,Puskesmas Made,GIZI,3,16,19
265,Oktober,Surabaya Barat,Sambikerep,Puskesmas Made,KIA,76,461,537
266,Oktober,Surabaya Barat,Sambikerep,Puskesmas Made,LANSIA,9,249,258
267,Oktober,Surabaya Barat,Sambikerep,Puskesmas Made,PSIKOLOGI,0,16,16
268,Oktober,Surabaya Barat,Sambikerep,Puskesmas Made,UMUM,157,1212,1369
269,Oktober,Surabaya Barat,Tandes,Puskesmas Manukan Kulon,BATRA,5,65,70
270,Oktober,Surabaya Barat,Tandes,Puskesmas Manukan Kulon,GIGI,81,594,675
271,Oktober,Surabaya Barat,Tandes,Puskesmas Manukan Kulon,GIZI,17,47,64
272,Oktober,Surabaya Barat,Tandes,Puskesmas Manukan Kulon,INSTALASI GAWAT DARURAT,36,40,76
273,Oktober,Surabaya Barat,Tandes,Puskesmas Manukan Kulon,KIA,225,1077,1302
274,Oktober,Surabaya Barat,Tandes,Puskesmas Manukan Kulon,LANSIA,32,1233,1265
275,Oktober,Surabaya Barat,Tandes,Puskesmas Manukan Kulon,PSIKOLOGI,5,20,25
276,Oktober,Surabaya Barat,Tandes,Puskesmas Manukan Kulon,PTRM,0,43,43
277,Oktober,Surabaya Barat,Tandes,Puskesmas Manukan Kulon,RAWAT INAP,1,24,25
278,Oktober,Surabaya Barat,Tandes,Puskesmas Manukan Kulon,UMUM,447,3105,3552
279,Oktober,Surabaya Timur,Rungkut,Puskesmas Medokan Ayu,BATRA,5,185,190
