_id,Periode,Wilayah,Kecamatan,Nama Puskesmas,Poli,Baru,Lama,Total
239,Agustus,Surabaya Utara,Krembangan,Puskesmas Krembangan Selatan,BATRA,2,43,45
240,Agustus,Surabaya Utara,Krembangan,Puskesmas Krembangan Selatan,GIGI,41,286,327
241,Agustus,Surabaya Utara,Krembangan,Puskesmas Krembangan Selatan,GIZI,26,58,84
242,Agustus,Surabaya Utara,Krembangan,Puskesmas Krembangan Selatan,INSTALASI GAWAT DARURAT,57,123,180
243,Agustus,Surabaya Utara,Krembangan,Puskesmas Krembangan Selatan,KESEHATAN JIWA,0,3,3
244,Agustus,Surabaya Utara,Krembangan,Puskesmas Krembangan Selatan,KIA,123,972,1095
245,Agustus,Surabaya Utara,Krembangan,Puskesmas Krembangan Selatan,LANSIA,23,576,599
246,Agustus,Surabaya Utara,Krembangan,Puskesmas Krembangan Selatan,PSIKOLOGI,20,43,63
247,Agustus,Surabaya Utara,Krembangan,Puskesmas Krembangan Selatan,RAWAT INAP,5,19,24
248,Agustus,Surabaya Utara,Krembangan,Puskesmas Krembangan Selatan,UMUM,364,2139,2503
249,Agustus,Surabaya Barat,Lakarsantri,Puskesmas Lidah Kulon,BATRA,1,27,28
250,Agustus,Surabaya Barat,Lakarsantri,Puskesmas Lidah Kulon,GIGI,59,350,409
251,Agustus,Surabaya Barat,Lakarsantri,Puskesmas Lidah Kulon,GIZI,0,11,11
252,Agustus,Surabaya Barat,Lakarsantri,Puskesmas Lidah Kulon,KIA,84,536,620
253,Agustus,Surabaya Barat,Lakarsantri,Puskesmas Lidah Kulon,LANSIA,7,472,479
254,Agustus,Surabaya Barat,Lakarsantri,Puskesmas Lidah Kulon,PSIKOLOGI,2,11,13
255,Agustus,Surabaya Barat,Lakarsantri,Puskesmas Lidah Kulon,UMUM,364,1929,2293
256,Agustus,Surabaya Barat,Sambikerep,Puskesmas Lontar,BATRA,3,12,15
257,Agustus,Surabaya Barat,Sambikerep,Puskesmas Lontar,GIGI,71,319,390
258,Agustus,Surabaya Barat,Sambikerep,Puskesmas Lontar,GIZI,13,14,27
259,Agustus,Surabaya Barat,Sambikerep,Puskesmas Lontar,KIA,165,553,718
260,Agustus,Surabaya Barat,Sambikerep,Puskesmas Lontar,LANSIA,25,335,360
261,Agustus,Surabaya Barat,Sambikerep,Puskesmas Lontar,PSIKOLOGI,3,14,17
